incorrect_word,correct_word,note,type
Double Deck,ดับเบิลเดก,คำทับศัพท์ทางการวุฒิสภา,transliteration
double majority,ดับเบิลมาจอริตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
double simple,ดับเบิลซิมเพิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
doubt,เดาต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
downsize,ดาวน์ไซซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
drama,ดรามา,คำทับศัพท์ทางการวุฒิสภา,transliteration
dream team,ดรีมทีม,คำทับศัพท์ทางการวุฒิสภา,transliteration
drive,ไดรฟ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Drone,โดรน,คำทับศัพท์ทางการวุฒิสภา,transliteration
drop,ดร็อป,คำทับศัพท์ทางการวุฒิสภา,transliteration
drop helicopter money,ดร็อปเฮลิคอปเตอร์มันนี,คำทับศัพท์ทางการวุฒิสภา,transliteration
drop out,ดร็อปเอาต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
dry port,ดรายพอร์ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
DSI,ดีเอสไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
DTAC,ดีแทค,คำทับศัพท์ทางการวุฒิสภา,transliteration
DTI,ดีทีไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
dump,ดัมป์,คำทับศัพท์ทางการวุฒิสภา,transliteration
duty free,ดิวตีฟรี,คำทับศัพท์ทางการวุฒิสภา,transliteration
DX platform,ดีเอ็กซ์แพลตฟอร์ม,คำทับศัพท์ทางการวุฒิสภา,transliteration
early detection,เออร์ลีดิเทกชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
early retirement,เออร์ลีรีไทร์เมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
eastern,อีสเทิร์น,คำทับศัพท์ทางการวุฒิสภา,transliteration
Eastern Economic Corridor,อิสเทิร์นอีคอนอมิกคอร์ริดอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
e–Auction,อี-อ็อกชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Auction,อีอ็อกชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Audit,อี-ออดิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Book,อี-บุ๊ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
echo chamber,เอ็กโคแชมเบอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Commerce,อี-คอมเมิร์ซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Commerce platform,อี-คอมเมิร์ซแพลตฟอร์ม,คำทับศัพท์ทางการวุฒิสภา,transliteration
Economic,อีคอนอมิก,คำทับศัพท์ทางการวุฒิสภา,transliteration
economy,อีคอนอมี,คำทับศัพท์ทางการวุฒิสภา,transliteration
economy of scale,อีคอนอมีออฟสเกล,คำทับศัพท์ทางการวุฒิสภา,transliteration
ecosystem,อีโคซิสเตม,คำทับศัพท์ทางการวุฒิสภา,transliteration
Ecstasy,เอกส์ตาซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Digital wallet,อี-ดิจิทัลวอลเล็ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Education,เอดูเคชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
EEC,อีอีซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
EECI,อีอีซีไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Education,อี-เอดูเคชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
effect,เอฟเฟกต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Effectiveness,เอฟเฟ็กทีฟเนสส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Finance,อี-ไฟแนนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
EGAT,อีแกต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Egmont Group,เอกมอนต์กรุป,คำทับศัพท์ทางการวุฒิสภา,transliteration
EHIA,อีเอชไอเอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
EIA,อีไอเอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
electronic,อิเล็กทรอนิกส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
El Niño,เอลนิญโญ,คำทับศัพท์ทางการวุฒิสภา,transliteration
Email,อีเมล,คำทับศัพท์ทางการวุฒิสภา,transliteration
embryo,เอ็มบริโอ,คำทับศัพท์ทางการวุฒิสภา (ศัพท์บัญญัติ),transliteration
e-Money,อีมันนี,คำทับศัพท์ทางการวุฒิสภา,transliteration
enabler,เอเนเบลอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
encrypt,เอนคริปต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
End of Life Vehicle,เอนด์ออฟไลฟ์วีฮีเคิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
energy,เอเนอร์จี,คำทับศัพท์ทางการวุฒิสภา,transliteration
energy intensity,เอเนอร์จีอินเทนซิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
energy pool price,เอเนอร์จีพูลไพรซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
enforcement,เอนฟอร์ซเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
engagement,เอนเกจเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
engineer,เอนจิเนียร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
enhanced,เอ็นแฮนซด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
EnPAT,เอนแพต,คำทับศัพท์ทางการวุฒิสภา,transliteration
ENTEC,เอนเทก,คำทับศัพท์ทางการวุฒิสภา,transliteration
entertainment,เอนเทอร์เทนเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
entertainment complex,เอนเทอร์เทนเมนต์คอมเพล็กซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
entrepreneur,ออนเทรเพรเนอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Procurement,อีโพรเคียวเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Procurement,อีโพรเคียวร์เมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Equity,เอควิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
ERC sandbox,อีอาร์ซีแซนด์บ็อกซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
error,เอเรอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
error,เอร์เรอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
e-Submission,อีซับมิสชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
ETDA,เอ็ตดา,คำทับศัพท์ทางการวุฒิสภา,transliteration
ethereum,อีเทอเรียม,คำทับศัพท์ทางการวุฒิสภา,transliteration
ethnicity,เอทนิซิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
EV,อีวี,คำทับศัพท์ทางการวุฒิสภา,transliteration
EVAC,อีแว็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
EV conversion,อีวีคอนเวอร์ชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
event,อีเวนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
E-Wallet,อีวอลเล็ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Excel,เอกเซล,คำทับศัพท์ทางการวุฒิสภา,transliteration
exception,เอ็กซ์เซปชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
execution,เอกเซกคิวชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
executive,เอกเซกคิวทิฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
exit,เอกซิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
exit,เอ็กซิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
expecting,เอกซ์เปกทิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
Expo,เอกซ์โป,คำทับศัพท์ทางการวุฒิสภา,transliteration
exporter,เอกซ์พอร์เตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
extra,เอกซทรา,คำทับศัพท์ทางการวุฒิสภา,transliteration
extrapolate,เอกซ์ทราโพเลต,คำทับศัพท์ทางการวุฒิสภา,transliteration
extreme,เอ็กซ์ตรีม,คำทับศัพท์ทางการวุฒิสภา,transliteration
facebook,เฟซบุ๊ก,คำทับศัพท์ทางการวุฒิสภา (ศัพท์บัญญัติ),transliteration
Facebook live,เฟซบุ๊กไลฟ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Face To Face,เฟซทูเฟซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
facilitate,ฟาซิลิเทต,คำทับศัพท์ทางการวุฒิสภา,transliteration
facilitator,ฟาซิลิเทเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
fact finding,แฟกต์ไฟน์ดิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
factor,แฟกเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
factory,แฟกทอรี,คำทับศัพท์ทางการวุฒิสภา,transliteration
factual,แฟ็กชวล,คำทับศัพท์ทางการวุฒิสภา,transliteration
failed state,เฟลด์สเตต,คำทับศัพท์ทางการวุฒิสภา,transliteration
fake GPS,เฟกจีพีเอส,คำทับศัพท์ทางการวุฒิสภา,transliteration
fake news,เฟกนิวส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
family,แฟมิลี,คำทับศัพท์ทางการวุฒิสภา,transliteration
fan club,แฟนคลับ,คำทับศัพท์ทางการวุฒิสภา,transliteration
farmer,ฟาร์เมอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
fat,แฟต,คำทับศัพท์ทางการวุฒิสภา,transliteration
FATF,เอฟเอทีเอฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
father and mother,ฟาเทอร์แอนด์มาเทอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
fatigue,ฟาทีก,คำทับศัพท์ทางการวุฒิสภา,transliteration
FC,เอฟซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
feasibility,ฟีซิบิลิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
feat,ฟีต,คำทับศัพท์ทางการวุฒิสภา,transliteration
feature,ฟีเชอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Federation of Malaysian Consumers Associations,เฟดเดอเรชันออฟมาเลเซียคอนซูเมอร์แอสโซซิเอชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
feed,ฟีด,คำทับศัพท์ทางการวุฒิสภา,transliteration
feedback,ฟีดแบ็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
feeder,ฟีดเดอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Feed-in Tariff,ฟีดอินแทรีฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
festival,เฟสติวัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
fiber optic,ไฟเบอร์ออปติก,คำทับศัพท์ทางการวุฒิสภา,transliteration
fila – brasileiro,ฟีลา – บราซีเลย์โร,คำทับศัพท์ทางการวุฒิสภา,transliteration
file PDF,ไฟล์พีดีเอฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
filing,ไฟลิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
filter,ฟิลเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
finance,ไฟแนนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
financial,ไฟแนนเชียล,คำทับศัพท์ทางการวุฒิสภา,transliteration
financial audit,ไฟแนนเชียลออดิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Finished Goods,ฟินนิชด์กูดส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
firewall,ไฟร์ลอล,คำทับศัพท์ทางการวุฒิสภา,transliteration
first,เฟิสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
fiscal,ฟิสกัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Fitch Rating,ฟิตช์เรตติง,คำทับศัพท์ทางการวุฒิสภา,transliteration
fix,ฟิกซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
flooding,ฟลัดดิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
floodway,ฟลัดเวย์,คำทับศัพท์ทางการวุฒิสภา,transliteration
floor,ฟลอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
flow,โฟลว์,คำทับศัพท์ทางการวุฒิสภา,transliteration
fluctuate,ฟลักทูเอต,คำทับศัพท์ทางการวุฒิสภา,transliteration
fluoxetine,ฟลูออกซิทีน,คำทับศัพท์ทางการวุฒิสภา,transliteration
FM,เอฟเอ็ม,คำทับศัพท์ทางการวุฒิสภา,transliteration
focal point,โฟคัลพ็อยนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
focus,โฟกัส,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
focus group,โฟกัสกรุป,คำทับศัพท์ทางการวุฒิสภา,transliteration
follow up,ฟอลโลว์อัป,คำทับศัพท์ทางการวุฒิสภา,transliteration
font,ฟอนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Food and Beverage,ฟูดแอนดเบฟเวอเรจ,คำทับศัพท์ทางการวุฒิสภา,transliteration
food technology,ฟูดเทคโนโลยี,คำทับศัพท์ทางการวุฒิสภา,transliteration
footage,ฟุตเทจ,คำทับศัพท์ทางการวุฒิสภา,transliteration
footnote,ฟุตโน้ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
footpath,ฟุตพาท,คำทับศัพท์ทางการวุฒิสภา,transliteration
forecast,ฟอร์แคสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
form,ฟอร์ม,คำทับศัพท์ทางการวุฒิสภา,transliteration
formaldehyde,ฟอร์มาลดีไฮด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
formal education,ฟอร์มัลเอดูเคชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
formalin,ฟอร์มาลิน,คำทับศัพท์ทางการวุฒิสภา,transliteration
formulation policy,ฟอร์มิวเลชันพอลิซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Fortuner,ฟอร์จูนเนอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
forward,ฟอร์เวิร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
forward,ฟอร์เวิร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
Fossil,ฟอสซิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Found,ฟาวนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Foundation,เฟานเดชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
foundation,ฟาวน์เดชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Frankenstein,แฟรงเกนสไตน์,คำทับศัพท์ทางการวุฒิสภา,transliteration
fraud,ฟรอด,คำทับศัพท์ทางการวุฒิสภา,transliteration
free and fair,ฟรีแอนด์แฟร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
freelance,ฟรีแลนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
free style,ฟรีสไตล์,คำทับศัพท์ทางการวุฒิสภา,transliteration
freeze headcount,ฟรีซเฮดเคานต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Frigate,ฟริเกต,คำทับศัพท์ทางการวุฒิสภา,transliteration
frigate,เรือฟริเกต,คำทับศัพท์ทางการวุฒิสภา,transliteration
from,ฟรอม,คำทับศัพท์ทางการวุฒิสภา,transliteration
FTA,เอฟทีเอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
FTI poll,เอฟทีไอโพล,คำทับศัพท์ทางการวุฒิสภา,transliteration
fuel tariff,ฟิวเอลแทร็ฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
Full,ฟุล,คำทับศัพท์ทางการวุฒิสภา,transliteration
full,ฟุล,คำทับศัพท์ทางการวุฒิสภา,transliteration
funeral,ฟิวเนอรัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
gabion,เกเบียน,คำทับศัพท์ทางการวุฒิสภา,transliteration
galaxy,กาแล็กซี,คำทับศัพท์ทางการวุฒิสภา (ศัพท์บัญญัติ),transliteration
gang,แก๊ง,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
gap,แก็ป,คำทับศัพท์ทางการวุฒิสภา,transliteration
gasohol,แกโซฮอล,คำทับศัพท์ทางการวุฒิสภา,transliteration
gate,เกต,คำทับศัพท์ทางการวุฒิสภา,transliteration
gear,เกียร์,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
Gender Responsive Budgeting : GRB,เจนเดอร์เรสปอนซิฟบัดเจ็ตติง,คำทับศัพท์ทางการวุฒิสภา,transliteration
general principles on consumer protection,เจนเนอรัลพรินซิเพิลส์ออนคอนซูเมอร์โพรเทกชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Generation,เจเนอเรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
generic,เจเนอริก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Genting Highland,เก็นติงไฮแลนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Gen x,เจนเอ็กซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Gen Y,เจนวาย,คำทับศัพท์ทางการวุฒิสภา,transliteration
Geological,จีโอลอจิคัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
geopolitics,จีโอพอลิติกส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
GFMIS,จีเอฟเอ็มไอเอส,คำทับศัพท์ทางการวุฒิสภา,transliteration
gifted,กิฟเต็ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
GII,จีไอไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
GISTDA,จิสด้า,คำทับศัพท์ทางการวุฒิสภา,transliteration
global,โกลบอล/โกลบัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Global Social Network,โกลบัลโซเชียลเน็ตเวิร์ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Global South,โกลบัลเซาท์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Global Statistic,โกลบัลสเตติสติก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Glycerine,กลีเซอรีน,คำทับศัพท์ทางการวุฒิสภา,transliteration
good governance,กู๊ดกัฟเวอร์แนนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Google,กูเกิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Google Earth,กูเกิลเอิร์ท,คำทับศัพท์ทางการวุฒิสภา,transliteration
Google Forms,กูเกิลฟอมส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Governance,กัฟเวอร์แนนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
governing body,กัฟเวิร์นนิงบอดี,คำทับศัพท์ทางการวุฒิสภา,transliteration
government,กัฟเวิร์นเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
GPS,จีพีเอส,คำทับศัพท์ทางการวุฒิสภา,transliteration
grade C,เกรดซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
graphic,กราฟิก,คำทับศัพท์ทางการวุฒิสภา,transliteration
gravity,แกรวิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Greenland,กรีนแลนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Greenpeace,กรีนพีซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
Green Wave,กรีนเวฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
group,กรุป,คำทับศัพท์ทางการวุฒิสภา,transliteration
grouping,กรุปปิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
guarantee,การันตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
guide,ไกด์,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
guideline,ไกด์ไลน์,คำทับศัพท์ทางการวุฒิสภา,transliteration
guillotine,กิโยตีน,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
guillotine,กิโยตีน,คำทับศัพท์ทางการวุฒิสภา,transliteration
guillotine,กิโยตีน,คำทับศัพท์ทางการวุฒิสภา,transliteration
hack,แฮ็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
hackathon,แฮกกาทอน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Hack Thailand,แฮ็กไทยแลนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Hallyu,ฮัลลยู,คำทับศัพท์ทางการวุฒิสภา,transliteration
hand,แฮนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
handle,แฮนเดิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
happy,แฮปปี,คำทับศัพท์ทางการวุฒิสภา,transliteration
harm reduction,ฮาร์มรีดักชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Harry,แฮรี,คำทับศัพท์ทางการวุฒิสภา,transliteration
hashtag,แฮชแท็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
HDPE,เอชดีพีอี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Health,เฮลท์,คำทับศัพท์ทางการวุฒิสภา,transliteration
healthy i-Work,เฮลทีไอเวิร์ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
heated but not burn,ฮีตเต็ดบัตน็อตเบิร์น,คำทับศัพท์ทางการวุฒิสภา,transliteration
Heatstroke,ฮีตสโตรก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Help T,เฮลป์ที,คำทับศัพท์ทางการวุฒิสภา,transliteration
hero,ฮีโร,คำทับศัพท์ทางการวุฒิสภา,transliteration
Hexoestrol,เฮกโซเอสตรอล,คำทับศัพท์ทางการวุฒิสภา,transliteration
high end,ไฮเอนด์,คำทับศัพท์ทางการวุฒิสภา (ศัพท์บัญญัติ),transliteration
Highlands,ไฮแลนดส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
highlight,ไฮไลต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
high technology,ไฮเทคโนโลยี,คำทับศัพท์ทางการวุฒิสภา,transliteration
HIV,เอชไอวี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Hokkaido,ฮกไกโด,คำทับศัพท์ทางการวุฒิสภา,transliteration
Hollywood,ฮอลลีวูด,คำทับศัพท์ทางการวุฒิสภา,transliteration
home school,โฮมสกูล,คำทับศัพท์ทางการวุฒิสภา,transliteration
homestay,โฮมสเตย์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Honda,ฮอนด้า,คำทับศัพท์ทางการวุฒิสภา,transliteration
hotline,ฮอตไลน์,คำทับศัพท์ทางการวุฒิสภา,transliteration
hotspot,ฮอตสปอต,คำทับศัพท์ทางการวุฒิสภา,transliteration
House,เฮาส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
House of Lords,เฮาส์ออฟลอดส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
How to,ฮาวทู,คำทับศัพท์ทางการวุฒิสภา,transliteration
HSK,เอชเอสเค,คำทับศัพท์ทางการวุฒิสภา,transliteration
hub,ฮับ,คำทับศัพท์ทางการวุฒิสภา,transliteration
human,ฮิวมัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
human skill,ฮิวแมนสกิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Hurricane,เฮอร์ริเคน,คำทับศัพท์ทางการวุฒิสภา,transliteration
I,ไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
icon,ไอคอน,คำทับศัพท์ทางการวุฒิสภา,transliteration
idea,ไอเดีย,คำทับศัพท์ทางการวุฒิสภา,transliteration
Identifying Predictors,ไอเดนทิฟายอิงพรีดิกเตอส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Ignite Thailand,อิกไนต์ไทยแลนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Illinois State University,อิลินอยส์สเตตยูนิเวอร์ซิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
IMD,ไอเอ็มดี,คำทับศัพท์ทางการวุฒิสภา,transliteration
IMF,ไอเอ็มเอฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
immunity,อิมมิวนิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
impact,อิมแพกต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Imperial College,อิมพีเรียลคอลเลจ,คำทับศัพท์ทางการวุฒิสภา,transliteration
import,อิมพอร์ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
import content,อิมพอร์ตคอนเทนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
IMT - GT,ไอเอ็มที-จีที,คำทับศัพท์ทางการวุฒิสภา,transliteration
incentive,อินเซนทิฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
indemnity insurance,อินเดมนิตีอินชัวรันซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
indentify,ไอเดนทิฟาย,คำทับศัพท์ทางการวุฒิสภา,transliteration
independent,อินดิเพนเดนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
individent living,อินดิวิเดนต์ลิฟวิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
industrial scale,อินดัสเตรียลสเกล,คำทับศัพท์ทางการวุฒิสภา,transliteration
industry,อินดัสตรี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Industry,อินดัสตรี,คำทับศัพท์ทางการวุฒิสภา,transliteration
influencer,อินฟลูเอนเซอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
infographic,อินโฟกราฟิก,คำทับศัพท์ทางการวุฒิสภา,transliteration
infographic,กราฟิก,คำทับศัพท์ทางการวุฒิสภา,transliteration
information,อินฟอร์เมชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
information overload,อินฟอร์เมชันโอเวอร์โหลด,คำทับศัพท์ทางการวุฒิสภา,transliteration
infrastructure,อินฟราสตรักเชอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
initiate,อินิชีเอต,คำทับศัพท์ทางการวุฒิสภา,transliteration
innovation,อินโนเวชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
input,อินพุต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Insanity is doing the samething,อินแซนิตีอีสดูอิงเดอะเซมทิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
Insights,อินไซตส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Institute,อินสติทิว,คำทับศัพท์ทางการวุฒิสภา,transliteration
insulin,อินซูลิน,คำทับศัพท์ทางการวุฒิสภา,transliteration
integrated tourism,อินทิเกรตเตดทัวริซึม,คำทับศัพท์ทางการวุฒิสภา,transliteration
Integrity,อินเทกริตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
interaction,อินเทอแร็กชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
interactive,อินเทอแรกทีฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
interface,อินเทอร์เฟซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
internate,อินเทอร์เน็ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
International,อินเตอร์แนชันนัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
international cooperation,อินเตอร์แนชันนัลโคโอเปอเรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Internet,อินเทอร์เน็ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
internet of things,อินเทอร์เน็ตออฟทิงส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Internet Protocol Television,อินเทอร์เน็ตโพรโทคอลเทเลวิชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Inter-Parliamentary Union,อินเทอร์พาร์เลียเมนทารียูเนียน,คำทับศัพท์ทางการวุฒิสภา,transliteration
INTOSAI Governing Board,อินโตไซกัฟเวอร์นิงบอร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
