ลำดับที่,ภาษาอังกฤษ,คำทับศัพท์ภาษาไทย,หมายเหตุ
676,infographic,อินโฟกราฟิก,
677,infographic,กราฟิก,
678,information,อินฟอร์เมชัน,
679,information overload,อินฟอร์เมชันโอเวอร์โหลด,
680,infrastructure,อินฟราสตรักเชอร์,
681,initiate,อินิชีเอต,
682,innovation,อินโนเวชัน,
683,input,อินพุต,
684,Insanity is doing the samething,อินแซนิตีอีสดูอิงเดอะเซมทิง,
685,Insights,อินไซตส์,
686,Institute,อินสติทิว,
687,insulin,อินซูลิน,
688,integrated tourism,อินทิเกรตเตดทัวริซึม,
689,Integrity,อินเทกริตี,
690,interaction,อินเทอแร็กชัน,
691,interactive,อินเทอแรกทีฟ,
692,interface,อินเทอร์เฟซ,
693,internate,อินเทอร์เน็ต,
694,International,อินเตอร์แนชันนัล,
695,international cooperation,อินเตอร์แนชันนัลโคโอเปอเรชัน,
696,Internet,อินเทอร์เน็ต,
697,internet of things,อินเทอร์เน็ตออฟทิงส์,
698,Internet Protocol Television,อินเทอร์เน็ตโพรโทคอลเทเลวิชัน,
699,Inter-Parliamentary Union,อินเทอร์พาร์เลียเมนทารียูเนียน,
700,INTOSAI Governing Board,อินโตไซกัฟเวอร์นิงบอร์ด,
701,invented,อินเวนเต็ด,
702,investigate,อินเวสทิเกต,
703,IOS,ไอโอเอส,
704,IOT,ไอโอที,
705,iPad,ไอแพด,
706,IP address,ไอพีแอดเดรส,
707,iPhone,ไอโฟน,
708,IPTV,ไอพีทีวี,
709,Iron Man,ไอรอนแมน,
710,IRPC,ไออาร์พีซี,
711,issue,อิสชู,
712,IT,ไอที,
713,ITA,ไอทีเอ,
714,ITA Awards,ไอทีเออะวอดส์,
715,ITC,ไอทีซี,
716,jackpot,แจ็กพอต,
717,J-Alert,เจ-อะเลิร์ต,
718,James Bond,เจมส์ บอนด์,
719,jerk,เจิร์ก,
720,Jernigan,เจอร์นิแกน,
721,jigsaw,จิกซอว์,
722,jigsaw,จิกซอว์,
723,Jinxian Park,จินเซียนพาร์ก,
724,Joint Action Plan,จ็อยนต์แอ็กชันแพลน,
725,joint committee,จ็อยนต์คอมมิตตี,
726,joint operate,จ็อยนต์โอเปอเรต,
727,Journal,เจอร์นัล,
728,jump start,จัมป์สตาร์ต,
729,Justice Project,จัสติซโพรเจ็กต์,
730,Kamikaze,คามิกาเซะ,
731,keg,เคก,
732,Keidanren,เคดันเร็น,
733,key,คีย์,
734,keyword,คีย์เวิร์ด,
735,Khun Pro,คุณโปร,
736,kickoff,คิกออฟ,
737,kid station,คิดสเตชัน,
738,Kiken Yoshi Training,คิเกนโยชิเทรนนิง,
739,kind,ไคนด์,
740,King's College,คิงส์คอลเลจ,
741,Kings Roman,คิงส์โรมัน,
742,KK Park,เคเคพาร์ก,
743,knowhow,โนว์ฮาว,
744,Know Your Customer,โนว์ยัวร์คัสโตเมอร์,
745,Koh Kong,เกาะกง,
746,Konstanz,คอนสตันซ์,
747,Korean wave,โคเรียนเวฟ,
748,KPI,เคพีไอ,
749,KYT,เควายที,
750,Labelling Accuracy,เลเบลลิงแอกคิวราซี,
751,lab scale,แล็บสเกล,
752,Land Bridge,แลนด์บริดจ์,
753,land of smile,แลนด์ออฟสมาย,
754,landscape,แลนด์สเกป,
755,land use,แลนด์ยูส,
756,La Nina,ลานิญญา,
757,Lao Cai,เลาะไก่,
758,late,เลต,พจนานุกรม
759,lead arranger,ลีดอาร์เรนเจอร์,
760,league,ลีก,
761,ledger,เลดเจอร์,
762,Letter from the Sun,เลตเตอร์ฟรอมเดอะซัน,
763,level,เลเวล,
764,LGBTQ,แอลจีบีทีคิว,
765,licence,ไลเซนส์,
766,license fee,ไลเซนส์ฟี,
767,lifestyle medicine,ไลฟ์สไตล์เมดิซิน,
768,lignite,ลิกไนต์,
769,like,ไลก์,
770,LINE,ไลน์,
771,LINE Official Account,ไลน์ออฟฟิเชียลแอกเคานต์,
772,link,ลิงก์,
773,Lisa Blackpink,ลิซา แบล็กพิงก์,
774,list,ลิสต์,
775,Lithium,ลิเทียม,
776,live commerce influencer,ไลฟ์คอมเมิร์ซอินฟลูเอนเซอร์,
777,living wage,ลิฟวิงเวจ,
778,LNG reloading,แอลเอ็นจีรีโลดดิง,
779,lobby,ล็อบบี,
780,Locals Thai PBS,โลคัลส์ไทยพีบีเอส,
781,location,โลเคชัน,
782,Lockdown,ล็อกดาวน์,
783,logistics,โลจิสติกส์,
784,logo,โลโก,
785,lot,ล็อต,
786,love scene,เลิฟซีน,
787,low carbon,โลว์คาร์บอน,
788,low cost,โลว์คอสต์,
789,LPG,แอลพีจี,
790,LPGA,แอลพีจีเอ,
791,macadamia,แมคาเดเมีย,
792,Machine,แมซีน,
793,Machine-readable,แมชีนรีดเอเบิล,
794,macro,แมโคร,
795,magik growth,แมจิกโกรว์ท,
796,maglev,แมกเลฟ,
797,Management,แมเนจเมนต์,
798,manipulate,แมนิพิวเลต,
799,map,แม็ป,
800,MARA PATANI,มาราปาตานี,
801,mark,มาร์ก,
802,market failure,มาร์เก็ตเฟลเลียร์,
803,marketing,มาร์เกตติง/มาร์เก็ตติง,
804,Marketing,มาร์เก็ตติง,
805,match,แมตช์,
806,material,แมทีเรียล,
807,McGill,แมกกิลล์,
808,MCOT Family,เอ็มคอตแฟมิลี,
809,Mechanism,เมคานิซึม,
810,media literacy,มีเดียลิเทอเรซี,
811,member state representative,เมมเบอร์สเตตเรพริเซนเททีฟ,
812,mentor,เมนทอร์,
813,merge,เมิร์จ,
814,message,เมสเซจ,
815,Meta,เมตา,
816,Methodology,เมทอดอโลจี,
817,Metre Gauge,มิเตอร์เกจ,
818,Mexico,เม็กซิโก,
819,microchip,ไมโครชิป,
820,Milk Board,มิลก์บอร์ด,
821,mindset,ไมนด์เซต,
822,minor vote,ไมเนอร์โหวต,
823,mix,มิกซ์,
824,MMS alert,เอ็มเอ็มเอสอะเลิร์ต,
825,MOA,เอ็มโอเอ,
826,mob,ม็อบ,
827,mobile,โมไบล์,
828,mobile baking,โมบายล์แบงกิง,
829,Mobility,โมบิลิตี,
830,mobilize,โมบิลไลซ์,
831,modal,โมดัล,
832,mode,โหมด,
833,model,โมเดล,
834,Model STRONG,โมเดลสตรอง,
835,modern trade,มอเดิร์นเทรด,
836,modified,มอดิฟายด์,
837,monitor,มอนิเตอร์,
838,Monoclonal antibody,มอโนโคลนัลแอนติบอดี,
839,monorail,โมโนเรล,
840,Montessori,มอนเตสโซรี,
841,Moody’s,มูดดีส์,
842,Moody's Ratings,มูดีส์เรตติงส์,
843,moral hazard,มอรัลฮาซาร์ด,
844,MotoGP,โมโตจีพี,
845,MotoGP model,โมโตจีพีโมเดล,
846,Motorsport,มอเตอร์สปอร์ต,
847,MOU,เอ็มโอยู,
848,movement,มูฟเมนต์,
849,MTEC,เอ็มเทก,
850,MTFF,เอ็มทีเอฟเอฟ,
851,multidisciplinary,มัลติดิสซิพลินารี,
852,multilateralism,มัลติเลเทอรัลลิซึม,
853,multinational company,มัลติแนชันนัลคัมพานี,
854,multiple alliance,มัลติเพิลอัลไลอันซ์,
855,MUX,มักซ์,
856,MV,เอ็มวี,
857,Myawaddy Downtown,เมียวดีดาวน์ทาวน์,
858,Myers,ไมเอิร์ส,
859,MySQL,มายเอสคิวแอล,
860,NANOTEC,นาโนเทค,
861,NASA,นาซา,
862,nation,เนชัน,
863,national,แนชันนัล,
864,National Defence,แนชันนัลดิเฟนซ์,
865,National policy driver,แนชันนัลพอลิซีไดรฟ์เวอร์,
866,nation first,เนชันเฟิสต์,
867,nations,เนชันส์,
868,NATO,เนโต,
869,NCD,เอ็นซีดี,
870,NECTEC,เนคเทค,
871,negative list,เนกาทีฟลิสต์,
872,Netflix,เน็ตฟลิกซ์,
873,net metering,เน็ตเมเทอร์ริง,
874,Net Zero,เน็ตซีโร,
875,Net zero emission,เน็ตซีโรอีมิสชัน,
876,neutral,นิวทรัล,
877,New Car Assessment Program : NCAP,นิวคาร์แอสเซสเมนต์โปรแกรมเอ็นซีเอพี,
878,New Jersey,นิวเจอร์ซีย์,
879,new media,นิวมีเดีย,
880,New Normal,นิวนอร์มัล,
881,New S-Curve,นิวเอสเคิร์ฟ,
882,new supply chain,นิวซัปพลายเชน,
883,New York,นิวยอร์ก,
884,NGO,เอ็นจีโอ,
885,NGV,เอ็นจีวี,
886,nickname,นิกเนม,
887,nicotine,นิโคติน,
888,Nikkei Asia,นิกเกอิ เอเชีย,
889,nominee,นอมินี,
890,Non-audit products,น็อนออดิตโพรดักส์,
891,non-bank,น็อนแบงก์,
892,Non-Communicable Diseases,น็อนคอมมิวนิเคเบิลดิซีสส์,
893,non-core,น็อนคอร์,
894,non legal binding,น็อนลีกัลไบน์ดิง,
895,non-native,น็อนเนทีฟ,
896,non-NATO ally,น็อนเนโตอัลไล,
897,non profit organization,น็อนโพรฟิตออร์แกไนเซชัน,
898,Non-Refoulement,น็อนรีเฟิลเมนต์,
899,non smart phone,น็อนสมาร์ตโฟน,
900,Non-Tariff,น็อนแทรีฟ,
901,non-visa,น็อนวีซา,
902,normal,นอร์แมล,
903,normal,นอร์มัล,
904,Notice,โนทิซ,
905,no vote,โนโหวต,
906,Nth room,เอนท์รูม,
907,Nurse,เนิร์ส,
908,nut,นอต,พจนานุกรม
909,nut,น็อต,
910,observe,ออบเซิร์ฟ,
911,OCA,โอซีเอ,
912,Occupational,ออกคิวเพชันนัล,
913,octopus,อ็อกโทปัส,
914,OECD,โออีซีดี,
915,offset,ออฟเซต,
916,off take,ออฟเทก,
917,OFOS,โอฟอส,
918,Olympic,โอลิมปิก,พจนานุกรม
919,Olympic Games,โอลิมปิกเกมส์,
920,Omakase,โอมากาเสะ,
921,Ombudsman,ออมบุดส์มัน,
922,on air,ออนแอร์,
923,on demand,ออนดีมานด์,
924,one championship,วันแชมเปียนชิป,
925,one map,วันแม็ป,
926,one size fits all,วันไซซ์ฟิตส์ออล,
927,One Stop Alert,วันสต็อปอะเลิร์ต,
928,one stop service,วันสต็อปเซอร์วิซ,
929,onlyfans,โอนลีแฟนส์,
930,onsite,ออนไซต์,
931,open,โอเพน,
932,open government,โอเพนกัฟเวิร์นเมนต์,
933,open loop,โอเพนลูป,
934,open source,โอเพนซอร์ซ,
935,operate,โอเปอเรต/ออเพอเรต,
936,Operating,โอเปอเรติง,
937,operation,โอเปอเรชัน,
938,operation system,โอเปอเรชันซิสเตม/ออเพอเรชันซิสเตม,
939,operator,โอเปอเรเตอร์,
940,Optimus,ออปทิมัส,
941,option,อ็อปชัน,
942,order,ออเดอร์,
943,organic,ออร์แกนิก,
944,organize,ออร์แกไนซ์,
945,organizer,ออร์แกไนเซอร์,
946,Organophosphate,ออร์กาโนฟอสเฟต,
947,Origin,ออริจิน,
948,original,ออริจินัล,
949,Osaka,โอซากะ,
950,OTOP,โอทอป,
951,OTP,โอทีพี,
952,OTT,โอทีีที,
953,Ottawa Charter,ออตตาวาชาร์เตอร์,
954,outcome,เอาต์คัม,
955,outsource,เอาต์ซอร์ซ,
956,over charge,โอเวอร์ชาร์จ,
957,over supply,โอเวอร์ซัปพลาย,
958,OV-Rapid Diagnosis Test,โอวีแรพิดไดอักโนซิสเทสต์,
959,Oxford,ออกซฟอร์ด,
960,Oxford University Innovation,ออกซฟอร์ดยูนิเวอร์ซิตีอินโนเวชัน,
961,package,แพ็กเกจ,
962,packaging,แพ็กเกจจิง,
963,page,เพจ,
964,page view,เพจวิว,
965,pain point,เพนพ็อยนต์,
966,paper,เพเปอร์,
967,paradigm shift,พาราไดม์ชิฟต์,
968,Paralympic,พาราลิมปิก,
969,Para Soil Cement,พาราซอยล์ซีเมนต์,
970,parent,แพเรนต์,
971,Parliamentarians,พาร์เลียเมนแทเรียนส์,
972,part,พาร์ต,
973,Participation,พาทิซิเพชัน,
974,partner,พาร์ตเนอร์,
975,party list,ปาร์ตี้ลิสต์,
976,pass,พาส,พจนานุกรม
977,passive,พาสซีฟ,
978,passport,พาสปอร์ต,
979,pasteurize,พาสเจอร์ไรซ์,
980,pasteurize,พาสเจอร์ไรซ์,
981,patent,แพเทนต์/เพแทนต์,
982,pattern,แพตเทิร์น,
983,payment system,เพย์เมนต์ซิสเตม,
984,PCU,พีซียู,
985,PD First,พีดีเฟิสต์,
986,PDP,พีดีพี,
987,PDPA,พีดีพีเอ,
988,peak,พีก,
989,peak hour,พีกอาวร์,
990,pedophilia,เพโดฟิเลีย,
991,peer to peer,เพียร์ทูเพียร์,
992,people’s parliament,พีเพิลส์พาร์เลียเมนต์,
993,percent,เปอร์เซ็นต์,
994,Perception,เพอร์เซปชัน,
995,performance audit,เพอร์ฟอร์แมนซ์ออดิต,
996,Personalized,เพอซันนัลไลด์,
997,Personalized,เพอร์ซันนัลไลซด์,
998,PGA,พีจีเอ,
999,phase,เฟส,
1000,phishing,ฟิชชิง,
1001,physical space,ฟิซิคัลสเปซ,
1002,physical wallet,ฟิซิคัลวอลเลต,
1003,pie chart,พายชาร์ต,
1004,PISA,ปิซา,
1005,piston,พิสตัน,
1006,pit bull,พิตบุลล์,
1007,pit bull terrier,พิตบุลล์เทร์เรีย,
1008,pivot,พิเวิต,
1009,place,เพลซ,
1010,plastic surgery,พลาสติกเซอร์เจอรี,
1011,platform,แพลตฟอร์ม,ศัพท์บัญญัติ
1012,play save,เพลย์เซฟ,
1013,pluralism,พลูรัลลิซึม,
1014,pocket book,พ็อกเกตบุ๊ก,
1015,Pod,พอด,
1016,pod,พ็อด,
1017,podcast,พอดแคสต์,
1018,pod K,พอดเค,
1019,Poipet,ปอยเปต,
1020,policy,พอลิซี,
1021,Policy Innovation,พอลิซีอินโนเวชัน,
1022,Policy Watch,พอลิซีวอตช์,
1023,political block,พอลิทิคัลบล็อก,
1024,poll,โพล,
1025,polypropylene,พอลิโพรพิลีน,
1026,pool,พูล,
1027,pool gas,พูลก๊าซ/พูลแก๊ส,
1028,poor's,พัวส์,
1029,position,โพซิชัน,
1030,positive,โพซิทีฟ,
1031,post,โพสต์,
1032,Post Election,โพสต์อิเล็กชัน,
1033,Post-Traumatic Stress Disorder,โพสต์ทรอแมติกสเตรสดิสออร์เดอร์,
1034,potash,โพแทช,
1035,power,เพาเวอร์,
1036,PowerPoint,พาวเวอร์พ็อยนต์,
1037,powers,พาวเวอส์,
1038,powers and duties,พาวเวอส์แอนด์ดิวตีส์,
1039,practicality,แพร็กทิคาลิตี,
1040,practice,แพร็กทิซ,
1041,precision farming,พรีซิชันฟาร์มมิง,
1042,present,พรีเซนต์,
1043,presentation,พรีเซนเทชัน,
1044,presumption of innocence,พรีซัมป์ชันออฟอินโนเซนซ์,
1045,pretty,พริตตี,
1046,pricing,ไพรซิง,
1047,Primary care,ไพรมารีแคร์,
1048,prime minister,ไพรม์มินิสเตอร์,
1049,prime time,ไพรม์ไทม์,
1050,print,พรินต์,
1051,Print Circuit Board,พรินต์เซอร์กิตบอร์ด,
1052,priority,ไพรออริตี,
1053,Prisoner's dilemma,พริเซอเนอส์ไดเลมมา,
1054,proactive,โพรแอกทีฟ,
1055,probability,พร็อบอะบิลิตี,
1056,problem state,พรอเบลมสเตต,
1057,producer,โพรดิวเซอร์,
1058,product,โพรดักต์,
1059,production,โพรดักชัน,
1060,production house,โพรดักชันเฮาส์,
1061,productive,โพรดักทิฟ,
1062,productivity,โพรดักทิวิตี,
1063,profile,โพรไฟล์,
1064,Programme for International Student Assessment,โปรแกรมฟอร์อินเตอร์แนชันนัลสติวเดนต์แอสเซสเมนต์,
1065,programmer,โปรแกรมเมอร์,
1066,progressive rate,โพรเกรสซีฟเรต,
1067,Project,โพรเจ็กต์,
1068,project manager,โพรเจ็กต์แมเนจเจอร์,
1069,project owner,โพรเจ็กต์โอนเนอร์,
1070,promote,โพรโมต,
1071,promotion,โพรโมชัน,
1072,PromptPay,พร้อมเพย์,
1073,property,พรอเพอร์ตี,
1074,Propylene Glycol,โพรพิลีนไกลคอล,
1075,prosumer,โพรซูเมอร์,
1076,Protestant,โปรเตสแตนต์,
1077,protocol,โพรโทคอล,
1078,proxies,พร็อกซีส์,
1079,PTSD,พีทีเอสดี,
1080,public hearing,พับบลิกเฮียริง,
1081,public safety first,พับบลิกเซฟตีเฟิสต์,
1082,public service,พับบลิกเซอร์วิซ,
1083,pure,เพียวร์,
1084,put the right man on the right job,พุตเดอะไรต์แมนออนเดอะไรต์จ็อบ,
1085,Pyrolysis,ไพโรไลซิส,
1086,Python,ไพทอน,
1087,QoS,คิวโอเอส,
1088,QR Code,คิวอาร์โคด,
1089,qualification,ควอลิฟิเคชัน,
1090,qualifier,ควอลิไฟเออร์,
1091,question mark,เควสชันมาร์ก,
1092,quote,โควต,
1093,Ractopamine,แร็กโทพามีน,
1094,rape,เรป,
1095,rapid test,แรพิดเทสต์,
1096,rating,เรตติง,
1097,rational,แรชันนัล,
1098,R&D,อาร์แอนด์ดี,
1099,reactor,รีแอ็กเตอร์,
1100,realignment,เรียอะไลน์เมนต์,
1101,realise,รีอะไลส์,
1102,real sector,เรียลเซกเตอร์,
1103,real time,เรียลไทม์,
1104,Reciprocal Tariffs,ริซิโพรคัลแทริฟส์,
1105,Recognition,เรค็อกนิชัน,
1106,recommendation,เรคอมเมนเดชัน,
1107,record,เรกคอร์ด,
1108,recruit,รีครูต,
1109,refer,รีเฟอร์,
1110,regally,รีเกิลลี,
1111,region,รีเจียน,
1112,regional agenda,รีเจอนัลอะเจนดา,
1113,register,รีจิสเตอร์ หรือ เรจิสเตอร์,
1114,registry,เรจิสตรี,
1115,regular flight,เรกิวลาร์ไฟลต์,
1116,Regulation,เรกิวเลชัน,
1117,regulator,เรกิวเลเตอร์,
1118,regulatory,เรกิวลาทอรี,
1119,regulatory,เรกิวลาทอรี,
1120,Related,รีเลตเต็ด,
1121,relationship,รีเลชันชิป,
1122,Relevance,เรเลวันซ์,
1123,remark,รีมาร์ก,
1124,remote,รีโมต,
1125,renal replacement therapy,รีนัลรีเพลซเมนต์เทอราปี,
1126,renewable,รีนิวเอเบิล,
1127,report,รีพอร์ต,
1128,Request For Proposal,รีเควสต์ฟอร์พรอโพซัล,
1129,requirement,รีไควร์เมนต์,
1130,research,รีเซิร์ช,
1131,reserve,รีเซิร์ฟ,
1132,resilience,รีซิเลนซ์,
1133,resistor,รีซิสเตอร์,
1134,reskill,รีสกิล,
1135,resort,รีสอร์ต,
1136,response,เรสปอนส์,
1137,responsible,เรสปอนซิเบิล,
1138,Restitution,เรสติทูชัน,
1139,restraining,รีสเตรนนิง,
1140,result,รีซัลส์,
1141,return,รีเทิร์น,
1142,reuters,รอยเตอส์,
1143,Revenue,เรเวอนิว,
1144,review,รีวิว,
1145,review literature,รีวิวลิเทอเรเชอร์,
1146,revisit model,รีวิซิตโมเดล,
1147,revolving fund,ริวอลวิงฟันด์,
1148,ribbon,ริบบิ้น,
1149,riceberry,ไรซ์เบอร์รี,
1150,rider,ไรเดอร์,
1151,right to be forgotten,ไรต์ทูบีฟอร์กอตเทน,
1152,RIMES,ไรมส์,
1153,Risks Ratings,ริสกส์เรตติงส์,
1154,roadmap,โรดแม็ป,
1155,road safety,โรดเซฟตี,
1156,road show,โรดโชว์,
1157,roaming,โรมมิง,
1158,robot,โรบอต,
1159,robotic,โรบอติก,
1160,Rockstar,ร็อกสตาร์,
1161,role model,โรลโมเดล,
1162,romance scam,โรแมนซ์สแกม,
1163,rottweiler,ร็อตต์ไวเลอร์,
1164,routing,เราติ้ง,
1165,routing table,เราติงเทเบิล,
1166,royalty,รอยัลตี,
1167,Rule of Law,รูลออฟลอว์,
1168,sample,แซมเปิล,
1169,sanction,แซงก์ชัน,
1170,Sands,แซนดส์,
1171,satellite,แซตเทิลไลต์,
1172,save,เซฟ,
1173,Savings,เซฟวิงส์,
1174,scammer,สแกมเมอร์,
1175,scan,สแกน,
1176,Scania,สแกเนีย,
1177,scenario,ซินารีโอ,
1178,schedule,สเกดูล,
1179,schizophrenia,สกิโซเฟรเนีย,
1180,school,สกูล,
1181,school bus,สกูลบัส,
1182,science and technology excellence,ไซเอนซ์แอนด์เทคโนโลยีเอกเซลเลนซ์,
1183,science park,ไซเอนซ์พาร์ก,
1184,scoop,สกูป,
1185,scorpion,สกอร์เปียน,
1186,screw,สกรู,
1187,sculptra,สกัลปตรา,
1188,S-Curve,เอส-เคิร์ฟ,
1189,SDGs,เอสดีจี,
1190,SEA,เอสอีเอ,
1191,sea canoe,ซีแคนู,
1192,seafood,ซีฟูด,
1193,SEA Games,ซีเกมส์,
1194,seal,ซีล,
1195,search,เซิร์ช,
1196,Secondary,เซกันดารี,
1197,security,ซีเคียวริตี,
1198,SEED Thailand,ซีดไทยแลนด์,
1199,segment,เซกเมนต์,
1200,self,เซลฟ์,
1201,selfie,เซลฟี,
1202,Self- Regulation -Report,เซลฟ์เรกิวเลชันรีพอร์ต,
1203,semiconductor,เซมิคอนดักเตอร์,
1204,Senate Channel,ซีเนตแชนเนล,
1205,seniority,ซีเนียริตี,
1206,sensitive,เซนซิทีฟ,
1207,sensor,เซนเซอร์,
1208,sentiment,เซนติเมนต์,
1209,sequence,ซีเควนซ์,
1210,series,ซีรีส์,
1211,serious,ซีเรียส,
1212,serve,เสิร์ฟ,พจนานุกรม
1213,serve,เซิร์ฟ,
1214,serve population,เซิร์ฟพอพิวเลชัน,
1215,serves,เซิร์ฟ,
1216,service,เซอร์วิซ,
1217,service mind,เซอร์วิซไมนด์,
1218,set,เซต,
1219,set back,เซ็ตแบ็ก,
1220,settlement,เซตเทิลเมนต์,
1221,set zero,เซ็ตซีโร,
1222,Seven-Eleven,เซเว่นอีเลฟเว่น,
1223,Sewol,เซว็อล,
1224,sex,เซ็กซ์,
1225,sex toy,เซ็กซ์ทอย,
1226,sexual,เซ็กชวล,
1227,Shared Responsibility,แชร์เรสปอนซิบิลิตี,
1228,Shifting,ชิฟติง,
1229,shine muscat,ไชน์มัสแกต,
1230,shipper,ชิปเปอร์,
1231,shock,ช็อก,พจนานุกรม
1232,shop,ช็อป,
1233,short-term stimulus,ชอร์ตเทิร์มสติมิวลัส,
1234,show,โชว์,พจนานุกรม
1235,showcase,โชว์เคส,
1236,SIA,เอสไอเอ,
1237,Sihanoukville,สีหนุวิลล์,
1238,silence,ไซเลนซ์,
1239,silicon valley,ซิลิคอนแวลลีย์,
1240,Silk Road,ซิลก์โรด,
1241,SIM box,ซิมบ็อกซ์,
1242,sim card,ซิมการ์ด,
1243,simple majority,ซิมเปิลมาจอริตี,
1244,simple vote,ซิมเปิลโหวต,
1245,simulate,ซิมิวเลต,
1246,single sport,ซิงเกิลสปอร์ต,
1247,sin tax,ซินแท็กซ์,
1248,siren,ไซเรน,พจนานุกรม
1249,size,ไซซ์,
1250,skill,สกิล,
1251,skill labour,สกิลเลเบอร์,
1252,SLAPP,สแลปป์,
1253,slide,สไลด์,
1254,slot,สล็อต,
1255,small,สมอล,
1256,small cell,สมอลเซลล์,
1257,smart,สมาร์ต,
1258,Smart City,สมาร์ตซิตี,
1259,smart farmer,สมาร์ตฟาร์มเมอร์,
1260,smart greenhouse,สมาร์ตกรีนเฮาส์,
1261,smartphone,สมาร์ตโฟน,
1262,SME bank,เอสเอ็มอีแบงก์,
1263,SME D Jump,เอสเอ็มอีดีจัมป์,
1264,SMEs,เอสเอ็มอี,
1265,smooth,สมูท,
1266,SMS,เอสเอ็มเอส,
1267,snatch,สแนตช์,
1268,social,โซเชียล,
1269,social listening,โซเชียลลิสเซินนิง,
1270,social media,โซเชียลมีเดีย,
1271,soft power,ซอฟต์พาวเวอร์,
1272,software,ซอฟต์แวร์,
1273,solar cell,โซลาร์เซลล์,
1274,Solar Roof,โซลาร์รูฟ,
1275,solar rooftop,โซลาร์รูฟท็อป,
1276,solution,โซลูชัน,
1277,solution journalism,โซลูชันเจอร์นัลลิซึม,
1278,Sonora,โซโนรา,
1279,source code,ซอร์ซโคด,
1280,Southeast Asia,เซาต์อีสต์เอเชีย,
1281,Southeast Asia,เซาท์อีสต์เอเชีย,
1282,speaker,สปีกเกอร์,
1283,spec,สเปก,
1284,special,สเปเชียล/สเปเซียล,
1285,special economic zone,สเปเชียลอีคอนอมิกโซน,
1286,spectrum analyzer,สเปกตรัมแอนาไลเซอร์,
1287,speech,สปีช,
1288,speed,สปีด,
1289,sperm,สเปิร์ม,
1290,Spider Man,สไปเดอร์แมน,
1291,spirit,สปิริต,
1292,Spirit of Asia,สปิริตออฟเอเชีย,
1293,sponsor,สปอนเซอร์,
1294,sport,สปอร์ต,
1295,Sports,สปอตส์,
1296,spot,สปอต/สป็อต,
1297,spotlight,สป็อตไลต์,
1298,stable,สเตเบิล,
1299,stage,สเตจ,
1300,stakeholder,สเตกโฮลเดอร์,
1301,standard,สแตนดาร์ด,
1302,standard operating procedure,สแตนดาร์ดโอเปอเรติงโพรซีเจอร์,
1303,Stanford,สแตนฟอร์ด,
1304,startup,สตาร์ตอัป,
1305,state intervention,สเตตอินเทอร์เวนชัน,
1306,statement,สเตตเมนต์,
1307,step,สเต็ป,
1308,sticker,สติกเกอร์,
1309,stock,สต๊อก,
1311,Stockholm,สตอกโฮล์ม,
1312,story,สตอรี,
1313,strategy,สแตรทีจี,
1314,streamer game,สตรีมเมอร์เกม,
1315,streaming,สตรีมมิง,
1316,Streaming platform,สตรีมมิงแพลตฟอร์ม,
1317,strike,สไตรก์,
1318,STRONG,สตรอง,
1319,structure,สตรักเชอร์,
1320,student,สติวเดนต์,
1321,subscribe,ซับสไกรบ์,
1322,subset,ซับเซต,
1323,subsidize,ซับซิไดซ์,
1324,sunset industry,ซันเซตอินดัสตรี,
1325,super,ซูเปอร์,
1326,Super App,ซูเปอร์แอป,
1327,super board,ซูเปอร์บอร์ด,
1328,super car,ซูเปอร์คาร์,
1329,superhero,ซูเปอร์ฮีโร,
1330,supermarket,ซูเปอร์มาร์เก็ต,
1331,supply,ซัปพลาย,
1332,supply chain,ซัปพลายเชน,
1333,support,ซัปพอร์ต,
1334,surf,เซิร์ฟ,
1335,surveyor,เซอร์เวเยอร์,
1336,Surveyors,เซอร์เวเยอส์,
1337,Suspicious Transaction Report,ซีสปิเชียสทรานแซ็กชันรีพอร์ต,
1338,sustainability,ซัสเตนอะบิลิตี,
1339,sustainable,ซัสเตนเอเบิล,
1340,sustainable agriculture,ซัสเตนเนเบิลอะกรีคัลเจอร์,
1341,synchronize,ซิงโครไนซ์,
1342,synergy,ซีเนอร์จี,
1343,synergy effect,ซีเนอร์จีเอฟเฟกต์,
1344,system,ซิสเตม,
1345,tablet,แท็บเล็ต,
1346,TAC,ทีเอซี,
1347,Taizhang,ไท่ฉาง,
1348,take action,เทกแอ็กชัน,
1349,talk of the week,ทอล์กออฟเดอะวีก,
1350,Talk Only,ทอล์กโอนลี,
1351,tank,แท็งก์,
1352,tank,แท็งก์,
1353,target,ทาร์เกต,
1354,target group,ทาร์เกตกรุป,
1355,tator,เทเตอร์,
1356,TDRI,ทีดีอาร์ไอ,
1357,teacher,ทีชเชอร์,
1358,Teach Less,ทีชเลส,
1359,Teamwork,ทีมเวิร์ก,
1360,technology,เทคโนโลยี,พจนานุกรม
1361,telehealth,เทเลเฮลท์,
1362,TeleMed,เทเลเมด,
1363,telemedicine,เทเลเมดิซิน,
1364,tenant,เทแนนต์,
1365,Tenji blocks,เท็นจิบล็อกส์,
1366,terminate,เทอร์มิเนต,
1367,Term of Use,เทิร์มออฟยูส,
1368,Tertiary,เทอร์เทียรี,
1369,test,เทสต์,
1370,text,เท็กซต์,
1371,Thai chef,ไทยเชฟ,
1372,ThaiD,ไทยดี,
1373,Thailand Winter Festival,ไทยแลนด์วินเตอร์เฟสติวัล,
1374,Thailand zero drop out,ไทยแลนด์ซีโรดร็อปเอาต์,
